[0, '0.7415693195316886', '0.6274569384814265', '18:43:12.585740', '19:02:28.964048'],
[13, '0.7399288745698549', '0.6184732632745374', '18:43:32.985841', '19:02:42.003828'],
[1, '0.7160328262747201', '0.5727397585652272', '19:02:46.934915', '19:21:57.524673'],
[14, '0.7227284240388426', '0.6028333706978393', '19:02:59.177020', '19:22:05.456684'],
[2, '0.6870178971161913', '0.5807518396532639', '19:22:13.952703', '19:41:23.670288'],
[15, '0.7494538160130109', '0.5980381904811453', '19:22:22.016921', '19:41:30.074380'],
[3, '0.7218109745331105', '0.5893641590879236', '19:41:40.642042', '20:00:51.219479'],
[16, '0.7603621475245399', '0.6373686847105242', '19:41:45.902384', '20:00:57.114286'],
[17, '0.7320874926940099', '0.6100714898121046', '20:01:13.817233', '20:20:21.936677'],
[4, '0.6474410072669764', '0.5928635448240195', '20:01:08.176100', '20:20:24.504006'],
[18, '0.7142763649500574', '0.576993487210528', '20:20:38.633043', '20:39:47.968952'],
[5, '0.6708153510856263', '0.594855021416162', '20:20:41.471638', '20:39:52.970762'],
[19, '0.7189360754993265', '0.5807287416534498', '20:40:04.543349', '20:59:13.771507'],
[6, '0.7252401286836182', '0.6181808335172116', '20:40:09.951709', '20:59:19.763049'],
[20, '0.7685230955286135', '0.6277358700188148', '20:59:30.249529', '21:18:41.121102'],
[7, '0.6992715011340136', '0.6080338858196723', '20:59:36.488692', '21:18:46.364234'],
[21, '0.7825887572082048', '0.5932494843746988', '21:18:57.878187', '21:38:06.702087'],
[8, '0.755533925082472', '0.6335529644327152', '21:19:03.547069', '21:38:22.710152'],
[22, '0.7139453369466847', '0.5969964599072367', '21:38:23.274684', '21:57:37.776431'],
[9, '0.694437804389571', '0.6150375049379311', '21:38:39.889068', '21:57:56.771868'],
[23, '0.6819202447882255', '0.5845193488315259', '21:57:54.809349', '22:17:04.109648'],
[10, '0.6410979112935212', '0.5678879163083692', '21:58:13.701950', '22:17:23.374386'],
[24, '0.7437824741791698', '0.5900967892593456', '22:17:21.635196', '22:36:32.724946'],
[11, '0.7441763734678462', '0.6469413375155846', '22:17:41.029897', '22:36:55.181709'],
[25, '0.7434119776667449', '0.576411639217895', '22:36:49.729575', '22:56:02.985681'],
[12, '0.6998543929363089', '0.6116743763554727', '22:37:13.202754', '22:56:23.750603'],
[28, '0.7514116837986619', '0.5817861490382212', '22:56:52.643779', '23:15:45.345324'],
[29, '0.7305517179429871', '0.6569325692409971', '23:16:01.601772', '23:34:57.772511'],
[30, '0.7305018328145951', '0.6077510629206936', '23:35:14.529091', '23:54:09.549547'],
[31, '0.6499798198156099', '0.5906239127350763', '23:54:25.549634', '00:13:21.202718'],
[32, '0.7006886917203544', '0.6255276985481875', '00:13:37.528615', '00:32:32.774384'],
[33, '0.5778291696123792', '0.5613996264993072', '00:32:49.401706', '00:51:47.396188'],
[34, '0.7388238714908624', '0.5672128283324716', '00:52:04.611168', '01:11:01.221897'],
[35, '0.7425479200460493', '0.6009171064530363', '01:11:16.718020', '01:30:13.009949'],
[36, '0.7682252997547312', '0.6329329161513649', '01:30:29.080493', '01:49:25.644995'],
[37, '0.7067789416341728', '0.6260343851433996', '01:49:40.983724', '02:08:36.631341'],
[38, '0.7758315398721752', '0.6303695806450238', '02:08:53.291910', '02:27:50.290309'],
[39, '0.6868098641290561', '0.5916429863654664', '02:28:05.233992', '02:47:03.580050'],
[40, '0.6866656682701893', '0.5720414335515722', '02:47:20.177455', '03:06:19.840488'],
[41, '0.7236112347228496', '0.5846857804333794', '03:06:35.495993', '03:25:26.430638'],
