[0, '0.7072093006390572', '0.6163612228305644', '16:47:53.844731', '17:07:21.985341'],
[1, '0.7646598694133466', '0.5981327489035037', '17:07:40.869565', '17:27:22.325895'],
[2, '0.8265722406611751', '0.6344424297160354', '17:27:40.049230', '17:47:16.398411'],
[3, '0.7037859939828752', '0.628446414615291', '17:47:33.595058', '18:07:16.538074'],
[4, '0.8012360584256493', '0.6575762376216977', '18:07:34.352272', '18:27:17.650856'],
[5, '0.7202240076579481', '0.622696807485039', '18:27:35.519012', '18:47:18.698925'],
[6, '0.6533210837524364', '0.5551399970528144', '18:47:36.446260', '19:07:13.328581'],
[7, '0.7058669460826492', '0.6160256578018133', '19:07:32.732555', '19:27:06.550609'],
[8, '0.7871746378149664', '0.6154053372747226', '19:27:25.696653', '19:47:02.325945'],
[9, '0.7106049097494744', '0.6362431830439147', '19:47:20.123179', '20:06:43.987744'],
[10, '0.7855786552593208', '0.6614530130838566', '20:18:01.424869', '20:39:20.016201'],
[11, '0.6579650210109609', '0.6431291955047715', '20:39:38.958874', '20:59:54.441003'],
[12, '0.7531939669017602', '0.6056621263112212', '21:00:15.291257', '21:19:46.152929'],
[13, '0.7039000622784173', '0.6101122883303369', '21:20:03.323177', '21:39:36.068290'],
[14, '0.7452380052884617', '0.6100540455624839', '21:39:54.399301', '21:59:20.302874'],
[15, '0.812343612946316', '0.6590093936649674', '21:59:38.281473', '22:19:03.868252'],
[16, '0.7206826271492711', '0.6581686308571552', '22:19:21.153243', '22:38:50.623494'],
[17, '0.6909777927926949', '0.6397322490248228', '22:39:08.845782', '22:59:22.752857'],
[18, '0.7229180225743427', '0.640149527609654', '22:59:42.683747', '23:20:22.770412'],
[19, '0.7192890860187531', '0.5992687725492166', '23:20:40.152719', '23:40:11.266469'],
[20, '0.7747335732343206', '0.6286551835256357', '00:04:37.380165', '00:23:53.236589'],
[21, '0.715756274291773', '0.6267879411716004', '00:24:11.257445', '00:43:25.160978'],
[22, '0.781367900664333', '0.6057287202216086', '00:43:43.063706', '01:03:06.690786'],
[23, '0.7313639604051708', '0.6181029655953234', '01:03:24.563454', '01:22:48.444183'],
[24, '0.7139303113252355', '0.6493529797012666', '01:23:07.374992', '01:42:31.194777'],
[25, '0.7129633940289335', '0.5967978112253246', '01:42:50.039522', '02:02:19.198162'],
[26, '0.7455786504262976', '0.6128747379853816', '02:02:37.418544', '02:22:02.144613'],
[27, '0.7027117634778082', '0.6484954149806055', '02:22:19.902083', '02:41:44.784243'],
[28, '0.8020137034872097', '0.6441759040217583', '02:42:04.762656', '03:01:28.089195'],
[29, '0.7518316998392944', '0.6181411186089576', '03:01:46.667417', '03:21:09.008105'],
[30, '0.7774073967965894', '0.6275983411572337', '07:49:58.575686', '08:08:58.538754'],
[31, '0.7137370322573959', '0.5790174064445249', '08:09:14.785532', '08:28:21.747479'],
[32, '0.6685238129450697', '0.5897920314680654', '08:28:39.285814', '08:47:54.769935'],
[33, '0.7446029438173951', '0.6460695824379068', '08:48:13.249849', '09:07:39.421137'],
[34, '0.7818369180504954', '0.6295754515796265', '09:07:58.135077', '09:27:25.972143'],
[35, '0.71458228655128', '0.6065917883625487', '09:27:43.668858', '09:47:08.145572'],
[36, '0.6485724188199722', '0.5779096273766798', '09:47:26.766900', '10:06:47.450804'],
[37, '0.7562523976521849', '0.6167896473757158', '10:07:05.957681', '10:26:29.266145'],
[38, '0.6777189246030451', '0.5501043725531095', '10:26:47.122683', '10:46:12.387219'],
[39, '0.740329327506074', '0.60589410792663', '10:46:29.846308', '11:05:52.753449'],
[40, '0.7201592458862445', '0.6039270231857629', '11:09:58.338421', '11:29:20.714584'],
[41, '0.7212100547870814', '0.6158311888942595', '11:29:39.826631', '11:49:06.677977'],
[42, '0.7267357267794339', '0.6167142008294716', '11:49:25.740558', '12:08:58.907958'],
[43, '0.726465930240362', '0.6362490389839006', '12:09:18.406449', '12:28:52.028798'],
[44, '0.7336739014315087', '0.6765297463471834', '12:29:11.623436', '12:48:45.052439'],
[45, '0.7386314775736356', '0.6155970502946784', '12:49:04.239575', '13:08:40.662169'],
[46, '0.6612543557306964', '0.5441961752519834', '13:09:00.134395', '13:28:38.240795'],
[47, '0.740166724546061', '0.6166161403400265', '13:28:57.863094', '13:48:29.319162'],
[48, '0.7376922935215438', '0.6013936829610115', '13:48:47.095538', '14:08:09.907517'],
[49, '0.7126618296126461', '0.6059196090168175', '14:08:26.430241', '14:27:50.963458'],
[50, '0.7209961398990611', '0.570493362688467', '14:46:52.378004', '15:06:17.011408'],
[51, '0.7237515818482005', '0.6138784123503511', '15:06:34.225968', '15:25:42.108666'],
[52, '0.7632197472144469', '0.6219585865562252', '15:25:58.895028', '15:45:15.165205'],
[53, '0.6478164646983324', '0.5744413586703239', '15:45:32.199978', '16:04:41.515955'],
[54, '0.7721454440734441', '0.5789951074516256', '16:04:58.650441', '16:24:08.665193'],
[55, '0.6918849025856995', '0.6120187135593524', '16:24:25.700314', '16:43:35.605420'],
[56, '0.755436610036177', '0.629818732482785', '16:43:53.827664', '17:03:03.158996'],
[57, '0.6348729927912926', '0.5768553861799222', '17:03:21.071253', '17:22:32.650096'],
[58, '0.7277521017501144', '0.6143122658073363', '17:22:50.855304', '17:42:12.472127'],
[59, '0.740159430489939', '0.6373449638141733', '17:42:30.680648', '18:01:41.661095'],
